what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1470992181986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992184068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992192194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1470992192284
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1470992192720
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1470992193827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992194284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992205311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992294075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992318030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992319000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992323969
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1470992323998
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1470992327876
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1470992327934
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1470992339236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992339757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992339878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992357144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992380798
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1470992381058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992382597
error,log,,,"No Byte Stream Services found for Nios II Console View",1470992389828
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1470992390066
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1470992390106
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1470992394281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992532895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1470992534684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470992583494
