what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182245134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182245302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182247003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182291395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504182315317
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1504182316380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182316697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182320701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182332876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182496235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182529350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182547575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504182553960
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1504182558425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182558741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182562432
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504182581273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504182593022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504182596709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182596994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504182601542
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1504182605558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1504182610060
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1504182612513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504182630967
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504182641007
